[0m
> build · nemotron-3-ultra-free
[0m
[0m$ [0mls -la reposcan-raw/threema-ch/
total 76
drwxr-xr-x 19 runner runner 4096 Aug 21 03:40 .
drwxr-xr-x  3 runner runner 4096 Aug 21 03:40 ..
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 apns-h2
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 app-remote-protocol
drwxr-xr-x 10 runner runner 4096 Aug 21 03:40 compose-area
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 push-relay
drwxr-xr-x 14 runner runner 4096 Aug 21 03:40 threema-android
drwxr-xr-x  8 runner runner 4096 Aug 21 03:40 threema-bot-sdk
drwxr-xr-x 12 runner runner 4096 Aug 21 03:40 threema-desktop
drwxr-xr-x 32 runner runner 4096 Aug 21 03:40 threema-ios
drwxr-xr-x  6 runner runner 4096 Aug 21 03:40 threema-markup
drwxr-xr-x  4 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-java
drwxr-xr-x  5 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-php
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-python
drwxr-xr-x  9 runner runner 4096 Aug 21 03:40 threema-msgapi-sdk-rust
drwxr-xr-x 16 runner runner 4096 Aug 21 03:40 threema-web
drwxr-xr-x  8 runner runner 4096 Aug 21 03:40 threema-web-electron
drwxr-xr-x  7 runner runner 4096 Aug 21 03:40 wasm-minisign-verify
drwxr-xr-x  5 runner runner 4096 Aug 21 03:40 webrtc-build-docker
[0m
Based on the scan results and knowledge base context, here's the classification:

## Classification Tables

### REAL_SECRET (0)
*None found - no hardcoded live credentials with signs of life*

### TEST_OR_EXAMPLE (38)
| File | Line | Pattern | Notes |
| threema-ios/ThreemaTests/ManuallyTests/ThreemaSafe/HttpClientDownloadSafeTests.swift | 28 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture |
| threema-ios/ThreemaTests/ManuallyTests/ThreemaSafe/HttpClientDownloadSafeTests.swift | 76 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture |
| threema-ios/ThreemaTests/ManuallyTests/ThreemaSafe/HttpClientDownloadSafeTests.swift | 120 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture |
| threema-ios/ThreemaTests/ManuallyTests/ThreemaSafe/HttpClientUploadSafeTests.swift | 38 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture |
| threema-ios/ThreemaTests/ManuallyTests/ThreemaSafe/HttpClientUploadSafeTests.swift | 83 | `safePassword: "shootdeathstar"` | TEST_ONLY fixture |
| threema-desktop/apps/desktop/src/common/test-data.ts | 62 | `keyStoragePassword: 'CHANGE_ME'` | Placeholder |
| threema-desktop/apps/desktop/src/common/enum/index.ts | 3126 | `LOAD_USER_PASSWORD = 'loadUserPassword'` | IPC constant name |
| threema-desktop/apps/desktop/src/common/enum/index.ts | 3162 | `STORE_USER_PASSWORD = 'storeUserPassword'` | IPC constant name |
| threema-desktop/apps/desktop/src/common/node/key-storage/crypto.ts | 223 | `password: 'r3gGN9GDQ5NF6tM6'` | **Benchmark dummy** - purges at L233, calibrates Argon2id only (KB: REJECTED x25+) |
| threema-desktop/apps/desktop/src/enum/schema.ts | 983 | `LOAD_USER_PASSWORD = 'loadUserPassword'` | IPC constant name |
| threema-desktop/apps/desktop/src/enum/schema.ts | 1000 | `STORE_USER_PASSWORD = 'storeUserPassword'` | IPC constant name |
| threema-desktop/packages/webrtc/src/sdp/ice-password.ts | 12 | `throw Error(\`Not a valid ICE password: '\${value}'\`)` | Validation code |
| threema-android/app/src/main/java/ch/threema/app/dialogs/PasswordEntryDialog.java | 47 | `KEY_PASSWORD = "password"` | Constant key name |
| threema-android/app/src/main/java/ch/threema/app/notifications/NotificationChannels.kt | 52 | `NOTIFICATION_CHANNEL_REMOTE_SECRET = "remote_secret_monitor"` | Channel ID constant |
| threema-android/app/src/main/java/ch/threema/app/utils/IceCandidateParser.java | 43 | `TOKEN = "[a-zA-Z]+"` | Regex pattern |
| threema-android/app/src/main/java/ch/threema/app/webclient/converter/ClientInfo.java | 37 | `PUSH_TOKEN = "pushToken"` | Constant key name |
| threema-android/app/src/main/java/ch/threema/storage/databaseupdate/DatabaseUpdateToVersion37.java | 48 | `COLUMN_PUSH_TOKEN = "push_token"` | Column name |
| threema-android/app/src/main/java/ch/threema/storage/models/WebClientSessionModel.java | 28 | `COLUMN_PUSH_TOKEN = "push_token"` | Column name |
| threema-android/buildSrc/src/main/kotlin/config/SentryConfig.kt | 15 | `publicApiKey = "b3e20afbf356a8748bb62ac165aa780c"` | Sentry **public DSN** (public by design) |
| threema-android/buildSrc/src/main/kotlin/config/SentryConfig.kt | 19 | `publicApiKey = "615af77cb3d980c41b3b04b07417cc7d"` | Sentry **public DSN** (public by design) |
| threema-ios/ThreemaTests/MyProfile/ThreemaSafe/ThreemaSafePasswordValidatorTests.swift | 30 | `password = "abcdefghijkl"` | Test fixture |
| threema-ios/ThreemaTests/MyProfile/ThreemaSafe/ThreemaSafePasswordValidatorTests.swift | 227 | `validPassword = "ABcd!@#tgk092"` | Test fixture |

### ENDPOINT_LEAK (13)
| File | Line | URL | Type |
|------|------|-----|------|
| threema-ios/libthreema/threema-protocols/src/directory.openapi.yml | 7 | `https://ds-apip-work.test.threema.ch` | Staging work directory |
| threema-ios/libthreema/threema-protocols/src/directory.openapi.yml | 917 | `https://ds-apip.test.threema.ch` | Staging directory |
| threema-desktop/apps/desktop/config/vite.config.ts | 147 | `https://ds-apip.test.threema.ch/` | Staging directory (build config) |
| threema-desktop/apps/desktop/config/vite.config.ts | 153 | `https://ds-apip-work.test.threema.ch/` | Staging work directory (build config) |
| threema-desktop/apps/desktop/config/vite.config.ts | 154 | `https://work.test.threema.ch/` | Staging work webapp (build config) |
| threema-desktop/packages/libthreema-wasm/libs/libthreema/threema-protocols/src/directory.openapi.yml | 7 | `https://ds-apip-work.test.threema.ch` | Staging work directory |
| threema-desktop/packages/libthreema-wasm/libs/libthreema/threema-protocols/src/directory.openapi.yml | 911 | `https://ds-apip.test.threema.ch` | Staging directory |
| threema-android/domain/libthreema/threema-protocols/src/directory.openapi.yml | 7 | `https://ds-apip-work.test.threema.ch` | Staging work directory |
| threema-android/domain/libthreema/threema-protocols/src/directory.openapi.yml | 917 | `https://ds-apip.test.threema.ch` | Staging directory |
| threema-android/domain/protocol/src/directory.openapi.yml | 7 | `https://ds-apip-work.test.threema.ch` | Staging work directory |
| threema-android/domain/protocol/src/directory.openapi.yml | 911 | `https://ds-apip.test.threema.ch` | Staging directory |

### INTERESTING (5)
| File | Line | Pattern | Reason |
|------|------|---------|--------|
| threema-android/app/src/main/java/ch/threema/app/voip/groupcall/sfu/JoinResponse.kt | 70 | `icePassword='$icePassword'` in `toString()` | Potential logcat leak of short-lived ICE creds; low value, needs runtime validation (KB: NEW) |
| threema-desktop/apps/desktop/config/vite.config.ts | 147-154 | Three staging URLs in build config | Confirms desktop client targets staging endpoints; ENDPOINT_LEAK but also build-time config leak |
| threema-ios/libthreema/threema-protocols/src/directory.openapi.yml | 7,917 | Staging URLs in OpenAPI spec | Spec documents staging endpoints alongside prod |
| threema-desktop/packages/libthreema-wasm/.../directory.openapi.yml | 7,911 | Same staging URLs in WASM bundle spec | Duplicated in WASM build |
| threema-android/domain/.../directory.openapi.yml (x2) | 7,911/917 | Same staging URLs in Android spec | Triplicated across platforms |

---

## Verdict List

| Candidate | Category | REPORT_CANDIDATE | Rationale |
|-----------|----------|------------------|-----------|
| `crypto.ts:223` benchmark password | TEST_OR_EXAMPLE | **no** | Benchmark-only dummy, `benchmarkKey.purge()` at L233, calibrates Argon2id only (KB confirmed 25+ cycles) |
| `AppMigration.swift:873` persistence key | TEST_OR_EXAMPLE | **no** | UserDefaults key name, not a secret (KB: REJECTED MISCONFIG) |
| `SentryConfig.kt:15,19` DSN keys | TEST_OR_EXAMPLE | **no** | Public Sentry DSNs by design (KB: REJECTED MISCONFIG) |
| `JoinResponse.kt:70` icePassword in toString | INTERESTING | **no** | Low-value potential logcat leak; short-lived ICE creds; needs runtime validation |
| Staging URLs in `.openapi.yml` + `vite.config.ts` | ENDPOINT_LEAK | **no** | Staging endpoints documented in specs/build configs; already known/accepted (KB: ACCEPTED MISCONFIG @ ds-apip.test.threema.ch) |
| All test fixtures (`testPassword`, `shootdeathstar`, `CHANGE_ME`, etc.) | TEST_OR_EXAMPLE | **no** | Explicitly test-only data |

**No REAL_SECRET findings to report.** All hits are test fixtures, staging endpoint documentation (already known), constant names, or the known benchmark dummy.
